zip_code,year,population
00601,2016,17800
00601,2015,17982
00601,2014,18088
00601,2013,18450
00601,2012,18544
00601,2011,18533
00601,2010,18570
00602,2016,39716
00602,2015,40260
00602,2014,40859
00602,2013,41302
00602,2012,41640
00602,2011,41930
00602,2010,41520
00603,2016,51565
00603,2015,52408
00603,2014,53162
00603,2013,53683
00603,2012,54540
00603,2011,54475
00603,2010,54689
00606,2016,6320
00606,2015,6331
00606,2014,6415
00606,2013,6591
00606,2012,6593
00606,2011,6386
00606,2010,6615
00610,2016,27976
00610,2015,28328
00610,2014,28805
00610,2013,28963
00610,2012,29141
00610,2011,29111
00610,2010,29016
00612,2016,63884
00612,2015,64816
00612,2014,66251
00612,2013,68055
00612,2012,69017
00612,2011,70541
00612,2010,67010
00616,2016,10321
00616,2015,10707
00616,2014,10466
00616,2013,10183
00616,2012,10750
00616,2011,10617
00616,2010,11017
00617,2016,24648
00617,2015,24793
00617,2014,24917
00617,2013,24879
00617,2012,24733
00617,2011,24458
00617,2010,24597
00622,2016,7385
00622,2015,7425
00622,2014,6589
00622,2013,6165
00622,2012,5923
00622,2011,5419
00622,2010,7853
00623,2016,42711
00623,2015,42955
00623,2014,44117
00623,2013,44704
00623,2012,44943
00623,2011,45314
00623,2010,43061
00624,2016,23945
00624,2015,24628
00624,2014,24902
00624,2013,25340
00624,2012,26016
00624,2011,26439
00624,2010,26241
00627,2016,33481
00627,2015,33949
00627,2014,34438
00627,2013,34806
00627,2012,35085
00627,2011,35260
00627,2010,35159
00631,2016,1689
00631,2015,1664
00631,2014,1847
00631,2013,1747
00631,2012,1800
00631,2011,1836
00631,2010,1852
00637,2016,24013
00637,2015,24398
00637,2014,24799
00637,2013,24996
00637,2012,25312
00637,2011,25511
00637,2010,25287
00638,2016,17795
00638,2015,18084
00638,2014,18365
00638,2013,18742
00638,2012,18997
00638,2011,19166
00638,2010,18941
00641,2016,28925
00641,2015,29516
00641,2014,30183
00641,2013,30401
00641,2012,30771
00641,2011,30987
00641,2010,31191
00646,2016,38292
00646,2015,38396
00646,2014,38305
00646,2013,38303
00646,2012,38179
00646,2011,37942
00646,2010,38199
00647,2016,5711
00647,2015,5740
00647,2014,5245
00647,2013,5640
00647,2012,5869
00647,2011,5605
00647,2010,6172
00650,2016,14569
00650,2015,14738
00650,2014,14679
00650,2013,14969
00650,2012,15120
00650,2011,15359
00650,2010,14998
00652,2016,3893
00652,2015,3800
00652,2014,3831
00652,2013,3461
00652,2012,3244
00652,2011,3378
00652,2010,4715
00653,2016,12125
00653,2015,12514
00653,2014,13427
00653,2013,13461
00653,2012,13502
00653,2011,14048
00653,2010,13307
00656,2016,19996
00656,2015,20414
00656,2014,20839
00656,2013,21172
00656,2012,21438
00656,2011,21684
00656,2010,21481
00659,2016,41327
00659,2015,41578
00659,2014,41830
00659,2013,41932
00659,2012,41945
00659,2011,41843
00659,2010,41953
00660,2016,16678
00660,2015,16845
00660,2014,17023
00660,2013,17151
00660,2012,17217
00660,2011,17239
00660,2010,17250
00662,2016,41986
00662,2015,42499
00662,2014,43101
00662,2013,43535
00662,2012,43598
00662,2011,43600
00662,2010,43282
00664,2016,15693
00664,2015,15974
00664,2014,16298
00664,2013,16508
00664,2012,16665
00664,2011,16907
00664,2010,16784
00667,2016,24492
00667,2015,24968
